id,work_year,expericence_level_id,employment_type_id,job_title_id,salary_in_usd,employee_residence_country_code_id,remote_ratio,company_location_country_code_id,company_size
1,2023,3,3,85,85847,21,100,21,L
2,2023,2,1,78,30000,80,100,80,S
3,2023,2,1,78,25500,80,100,80,S
4,2023,3,3,48,175000,3,100,3,M
5,2023,3,3,48,120000,3,100,3,M
6,2023,3,3,9,222200,80,0,80,L
7,2023,3,3,9,136000,80,0,80,L
8,2023,3,3,48,219000,3,0,3,M
9,2023,3,3,48,141000,3,0,3,M
10,2023,3,3,48,147100,80,0,80,M
11,2023,3,3,48,90700,80,0,80,M
12,2023,3,3,26,130000,80,100,80,M
13,2023,3,3,26,100000,80,100,80,M
14,2023,1,3,9,213660,80,0,80,L
15,2023,1,3,9,130760,80,0,80,L
16,2023,3,3,39,147100,80,0,80,M
17,2023,3,3,39,90700,80,0,80,M
18,2023,3,3,48,170000,80,0,80,M
19,2023,3,3,48,150000,80,0,80,M
20,2023,2,3,26,150000,80,100,80,M
21,2023,2,3,26,110000,80,100,80,M
22,2023,3,3,89,275000,21,0,21,M
23,2023,3,3,89,174000,21,0,21,M
24,2023,3,3,5,230000,21,100,21,M
25,2023,3,3,5,143200,21,100,21,M
26,2023,3,3,19,225000,80,0,80,M
27,2023,3,3,19,156400,80,0,80,M
28,2023,3,3,68,200000,80,0,80,M
29,2023,3,3,68,130000,80,0,80,M
30,2023,3,3,51,90000,3,0,3,M
31,2023,3,3,51,72000,3,0,3,M
32,2023,3,3,34,253200,80,0,80,M
33,2023,3,3,34,90700,80,0,80,M
34,2023,3,3,24,342810,80,0,80,M
35,2023,3,3,24,184590,80,0,80,M
36,2023,2,3,34,162500,80,0,80,M
37,2023,2,3,34,130000,80,0,80,M
38,2023,2,3,26,105380,80,0,80,M
39,2023,2,3,26,64500,80,0,80,M
40,2023,1,3,42,100000,40,100,40,L
41,2023,1,3,23,30000,40,100,40,L
42,2022,2,3,68,20984,21,50,21,L
43,2023,1,3,9,204620,80,0,80,L
44,2023,1,3,9,110680,80,0,80,L
45,2023,3,3,34,270703,80,0,80,M
46,2023,3,3,34,221484,80,0,80,M
47,2023,3,3,48,212750,80,100,80,M
48,2023,3,3,48,185000,80,100,80,M
49,2023,3,3,48,262000,80,100,80,M
50,2023,3,3,48,245000,80,100,80,M
51,2023,3,3,48,275300,80,100,80,M
52,2023,3,3,48,183500,80,100,80,M
53,2023,3,3,48,218500,80,100,80,M
54,2023,3,3,48,199098,80,100,80,M
55,2023,3,3,34,203300,80,100,80,M
56,2023,3,3,34,123600,80,100,80,M
57,2023,3,3,89,189110,80,0,80,M
58,2023,3,3,89,139000,80,0,80,M
59,2023,4,3,48,258750,80,0,80,M
60,2023,4,3,48,185000,80,0,80,M
61,2023,3,3,34,231500,80,100,80,M
62,2023,3,3,34,166000,80,100,80,M
